"","link","titulo","preco","cidade","bairro","adicional","tem_quarto","tem_area","tem_taxa","tem_garagem","qtd_quarto","taxa_condominio","area_condominio","garagem"
"1","https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-com-3-dormitorios-a-venda-154-m-por-r-880-000-00-icarai-niteroi-rj-746276711","Apartamento com 3 dormitórios à venda, 154 m² por R$ 880.000,00 - Icaraí - Niterói/RJ",880000,"Niterói"," Icaraí","3 quarto | 154m² | Condomínio: RS 2.120 | 1 vaga",TRUE,TRUE,TRUE,TRUE,3,2120,154,1
"2","https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-a-venda-com-3-dormitorios-em-icarai-niteroi-cod-590262-515308759","Apartamento à venda com 3 dormitórios em Icaraí, Niterói cod:590262",780000,"Niterói"," Icaraí","3 quarto | 130m² | Condomínio: RS 1.200 | 1 vaga",TRUE,TRUE,TRUE,TRUE,3,1200,130,1
"3","https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-a-venda-com-2-dormitorios-em-icarai-niteroi-cod-820145-515309107","Apartamento à venda com 2 dormitórios em Icaraí, Niterói cod:820145",620000,"Niterói"," Icaraí","2 quarto | 1153m² | Condomínio: RS 690 | 1 vaga",TRUE,TRUE,TRUE,TRUE,2,690,1153,1
"4","https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-a-venda-com-4-dormitorios-em-icarai-niteroi-cod-819798-515308940","Apartamento à venda com 4 dormitórios em Icaraí, Niterói cod:819798",1600000,"Niterói"," Icaraí","4 quarto | 55m² | Condomínio: RS 1.310 | 1 vaga",TRUE,TRUE,TRUE,TRUE,4,1310,55,1
"5","https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/miolo-de-icarai-com-3-dormitorios-a-venda-80-m-icarai-niteroi-rj-772665382","Miolo de Icaraí - com 3 dormitórios à venda, 80 m² - Icaraí - Niterói/RJ",519990,"Niterói"," Icaraí","3 quarto | 80m² | Condomínio: RS 936 | 1 vaga",TRUE,TRUE,TRUE,TRUE,3,936,80,1
"6","https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/oportunidade-apartamento-com-3-dormitorios-a-venda-150-m-icarai-niteroi-rj-772661762","Oportunidade!! Apartamento com 3 dormitórios à venda, 150 m² - Icaraí - Niterói/RJ",726000,"Niterói"," Icaraí","3 quarto | 150m² | Condomínio: RS 1.370 | 1 vaga",TRUE,TRUE,TRUE,TRUE,3,1370,150,1
"7","https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-com-2-dormitorios-a-venda-85-m-772657630","Apartamento com 2 dormitórios à venda, 85 m²",629900,"Niterói"," Icaraí","2 quarto | 85m² | Condomínio: RS 874 | 1 vaga",TRUE,TRUE,TRUE,TRUE,2,874,85,1
"8","https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-com-3-dormitorios-a-venda-91-m-por-r-500-000-00-icarai-niteroi-rj-416087551","Apartamento com 3 dormitórios à venda, 91 m² por R$ 500.000,00 - Icaraí - Niterói/RJ",450000,"Niterói"," Icaraí","3 quarto | 91m² | Condomínio: RS 1.150 | 1 vaga",TRUE,TRUE,TRUE,TRUE,3,1150,91,1
"9","https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-com-4-dormitorios-a-venda-220-m-por-r-1-750-000-icarai-niteroi-rj-656986342","Apartamento com 4 dormitórios à venda, 220 m² por R$ 1.750.000 - Icaraí - Niterói/RJ",1750000,"Niterói"," Icaraí","4 quarto | 220m² | Condomínio: RS 2.400 | 2 vagas",TRUE,TRUE,TRUE,TRUE,4,2400,220,2
"10","https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-excelente-junto-espaco-gourmet-744625598","Apartamento Excelente Junto Espaço Gourmet",960000,"Niterói"," Icaraí","3 quarto | 120m² | Condomínio: RS 1.375 | 2 vagas",TRUE,TRUE,TRUE,TRUE,3,1375,120,2
